id,text_lower,label,matched_word,mod_text,text_final
1608557710022438912,"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way. #iranrevolution",1,twitter has block,"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way. iranrevolution",despite difficult condition iran ukraine twitter block prefix two country make unable access many feature available twitter let people every country speak without put obstacle way iranrevolution
1603014583932911616,"we hope to have this account banned on @twittersupport the soonest. @elonmusk \nthis person is hanging his own people, torturing, killing, kidnapping in #iran, #iraq, #syria, #lebanon, #yamen, and non is holding him accountable. let’s at least stop feeding his propaganda. https://t.co/z71s3japoc",1,account banned,"we hope to have this account banned on the soonest. this person is hanging his own people, torturing, killing, kidnapping in iran, iraq, syria, lebanon, yamen, and non is holding him accountable. let’s at least stop feeding his propaganda. https//t.co/z71s3japoc",hope account ban soonest person hang people torture kill kidnap iran iraq syria lebanon yamen non hold accountable let least stop feed propaganda
1577557651755393024,#مهسا_امینی #اعتصابات_سراسری #nytimes \ndo sth. for iranians\nkick out  the diplomats and relatives of the bloodthirsty regime of the islamic republic of iran and block their bank accounts.any negotiation with the islamic republic is tantamount to enmity with the people of iran. https://t.co/qfvkejdswk,0,block their bank account,مهسا امینی اعتصابات سراسری nytimes do sth. for iranians kick out the diplomats and relatives of the bloodthirsty regime of the islamic republic of iran and block their bank accounts.any negotiation with the islamic republic is tantamount to enmity with the people of iran. https//t.co/qfvkejdswk,مهسا امینی اعتصابات سراسری nytimes sth iranian kick diplomat relative bloodthirsty regime islamic republic iran block bank negotiation islamic republic tantamount enmity people iran
1593607810180186113,meta reportedly fires dozens of employees for hijacking users’ facebook  #security #cybersecurity #hack #it-security https://t.co/yfopnnbvxw,0,reportedly fires dozens of employees for hijacking user,meta reportedly fires dozens of employees for hijacking users’ facebook security cybersecurity hack it-security https//t.co/yfopnnbvxw,meta reportedly fire dozen employee hijack user facebook security cybersecurity hack
1610745458049286144,"inbox us, if you need our hacking services.\nwe are available 24/7\ninbox and smile again\n#hacked #facebookdown #whatspp #hackedinstagram #twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspended",1,twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspend,"inbox us, if you need our hacking services. we are available 24/7 inbox and smile again hacked facebookdown whatspp hackedinstagram twitterdown lockedaccount metamask ransomware bnb hat hack suspended",inbox u need hacking service available inbox smile hack facebookdown whatspp hackedinstagram twitterdown lockedaccount metamask ransomware bnb hat hack suspend
1595041226729848835,hey @twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove your limitations from these users.\n#mahsaamini\n#r2piran,1,twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove,hey these accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove your limitations from these users. mahsaamini r2piran,hey account tremendous help revolution violate rule must demand remove limitation user mahsaamini
1575816787727290369,https://t.co/7bgdcwhbnz this young man shervin hajipour was arrested by iranian police forces simply for singing a song echoing social media posts by iranians after mahsa amini’s death. they forced him to delete the song. #iranrevolution2022 \n#mahsaamini\n#opiran \n#مهسا_امینی,1,posts by iranians after mahsa amini’s death. they forced him to delete,https//t.co/7bgdcwhbnz this young man shervin hajipour was arrested by iranian police forces simply for singing a song echoing social media posts by iranians after mahsa amini’s death. they forced him to delete the song. iranrevolution2022 mahsaamini opiran مهسا امینی,young man shervin hajipour arrest iranian police force simply sing song echo social medium post iranian mahsa amini death force delete song mahsaamini opiran مهسا امینی
1590353643546738689,93% of internet users in iran use vpn or similar tools to access blocked content and applications.\n\nup from 35%.\n\nlet that sink in.\n\n#iranprotests2022 #mahsaamini #iranrevolution \n#مهسا_امینی #توماج_صالحی https://t.co/x30zmwgdyh,0,users in iran use vpn or similar tools to access block,93% of internet users in iran use vpn or similar tools to access blocked content and applications. up from 35%. let that sink in. iranprotests2022 mahsaamini iranrevolution مهسا امینی توماج صالحی https//t.co/x30zmwgdyh,internet user iran use vpn similar tool access block content application let sink mahsaamini iranrevolution مهسا امینی توماج صالحی
1575631013908475904,this video of singer shervin hajipour singing tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete the video and they have arrested him. \n#mahsaamini #مهسا_امینی https://t.co/lvrjcaj9y4,1,tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete,this video of singer shervin hajipour singing tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views. the islamic republic has forced shervin to delete the video and they have arrested him. mahsaamini مهسا امینی https//t.co/lvrjcaj9y4,video singer shervin hajipour sing tweet iranian share fight freedom go viral ten million view islamic republic force shervin delete video arrest mahsaamini مهسا امینی
1585726130493030400,also a nice double standard here. when negar mortazavi and other staff get harassed: oh nooo they're killing us😱 we condemn this act of harassment 😠\nwhen their staff harasses people:\nwe wish her luck and send her hugs and kisses 😘\n#mahsaamini \n#iranrevoiution https://t.co/4ia3id1fjd,0,harassment,also a nice double standard here. when negar mortazavi and other staff get harassed oh nooo they're killing us we condemn this act of harassment when their staff harasses people we wish her luck and send her hugs and kisses mahsaamini iranrevoiution https//t.co/4ia3id1fjd,also nice double standard negar mortazavi staff get harass oh nooo kill u condemn act harassment staff harass people wish luck send hug kiss mahsaamini iranrevoiution
1587081078593961987,"i've been posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspended...#iranrevolution",1,"posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspend","i've been posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspended...iranrevolution",post iran palestine stuff instagram story post iran today instagram account suspend iranrevolution
1579235634254073857,"this is not the first time @oprah deleted my comment immediately on her instagram account. guess what sister, you can't do anything here!  #opiran‌‌ #mahsaamini #مهسا‌‌‌‌_امینی #oprah #iran https://t.co/46yyswnkmb",1,deleted my comment immediately on her instagram account,"this is not the first time deleted my comment immediately on her instagram account. guess what sister, you can't do anything here! opiran‌‌ mahsaamini مهسا‌‌‌‌ امینی oprah iran https//t.co/46yyswnkmb",first time delete comment immediately instagram account guess sister ca anything mahsaamini امینی oprah iran
1599131493325938689,masih is getting a lot of ir trolls on her tweets lately. pls suppot her by replaying to her tweets&amp; consider reporting those who r attacking her&amp; also spreading lies(here saying mina is not injured &amp; it's make up; i wonder why so many die in custody or have fractures #mahsaamini https://t.co/cngzc1csdy,1,tweets lately. pls suppot her by replaying to her tweets&amp; consider report,masih is getting a lot of ir trolls on her tweets lately. pls suppot her by replaying to her tweets&amp; consider reporting those who r attacking her&amp; also spreading lies(here saying mina is not injured &amp; it's make up; i wonder why so many die in custody or have fractures mahsaamini https//t.co/cngzc1csdy,masih get lot ir troll tweet lately pls suppot replay tweet amp consider report r attack amp also spread lie say mina injured amp make wonder many die custody fracture mahsaamini
1584160583619727360,"""snapp helps the lr regime in the protests of the iranian people and gives the information of its customers such as name, location, order information to the police to arrest them. may we ask you to delete this application to save the lives of iranian people.\n#مهسا_امینی",1,delete,"""snapp helps the lr regime in the protests of the iranian people and gives the information of its customers such as name, location, order information to the police to arrest them. may we ask you to delete this application to save the lives of iranian people. مهسا امینی",snapp help lr regime protest iranian people give information customer name location order information police arrest may ask delete application save life iranian people مهسا امینی
1585884632624398337,sharmine narwani is a paid agent of the islamic republic of #iran. making fun about  the human right abuses towards  #women in iran.\nto be suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter @samanva massive reporting\n@policy \n@elonmusk \n@anonopssee https://t.co/iguhyhpsff,1,suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter,sharmine narwani is a paid agent of the islamic republic of iran. making fun about the human right abuses towards women in iran. to be suspended please. mahsaamini opiran iranrevoiution massive reporting https//t.co/iguhyhpsff,sharmine narwani paid agent islamic republic iran make fun human right abuse towards woman iran suspend please mahsaamini opiran iranrevoiution massive reporting
1572995108571869185,lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی,1,accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove,lots of the iranian accounts(start with +98) do not work properly even from abroad. lots of the posts related to the current protests in iran are removed on shame on you opiran مهسا امینی,lot iranian account start work properly even abroad lot post relate current protest iran remove shame opiran مهسا امینی
