id	text_lower	label	matched_word
1.60856E+18	"despite difficult conditions in iran and ukraine, twitter has blocked the prefixes of these two countries, which makes them unable to access many of the features available on twitter. let the people from every country speak without putting obstacles on the way. #iranrevolution"	1	twitter has block
1.60301E+18	"we hope to have this account banned on @twittersupport the soonest. @elonmusk \nthis person is hanging his own people, torturing, killing, kidnapping in #iran, #iraq, #syria, #lebanon, #yamen, and non is holding him accountable. let’s at least stop feeding his propaganda. https://t.co/z71s3japoc"	1	account banned
1.57756E+18	#مهسا_امینی #اعتصابات_سراسری #nytimes \ndo sth. for iranians\nkick out  the diplomats and relatives of the bloodthirsty regime of the islamic republic of iran and block their bank accounts.any negotiation with the islamic republic is tantamount to enmity with the people of iran. https://t.co/qfvkejdswk	0	block their bank account
1.59361E+18	meta reportedly fires dozens of employees for hijacking users’ facebook  #security #cybersecurity #hack #it-security https://t.co/yfopnnbvxw	0	reportedly fires dozens of employees for hijacking user
1.61075E+18	"inbox us, if you need our hacking services.\nwe are available 24/7\ninbox and smile again\n#hacked #facebookdown #whatspp #hackedinstagram #twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspended"	1	twitterdown  #lockedaccount #metamask #ransomware #bnb hat #hack #suspend
1.59504E+18	hey @twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove your limitations from these users.\n#mahsaamini\n#r2piran	1	twitter\n @twittersupport\n @elonmusk\n\nthese @erenrumbling21\n @barandaazonline\n accounts have been a tremendous help during our revolution. they haven't violated any of your rules so we must demand that you remove
1.57582E+18	https://t.co/7bgdcwhbnz this young man shervin hajipour was arrested by iranian police forces simply for singing a song echoing social media posts by iranians after mahsa amini’s death. they forced him to delete the song. #iranrevolution2022 \n#mahsaamini\n#opiran \n#مهسا_امینی	1	posts by iranians after mahsa amini’s death. they forced him to delete
1.59035E+18	93% of internet users in iran use vpn or similar tools to access blocked content and applications.\n\nup from 35%.\n\nlet that sink in.\n\n#iranprotests2022 #mahsaamini #iranrevolution \n#مهسا_امینی #توماج_صالحی https://t.co/x30zmwgdyh	0	users in iran use vpn or similar tools to access block
1.57563E+18	this video of singer shervin hajipour singing tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete the video and they have arrested him. \n#mahsaamini #مهسا_امینی https://t.co/lvrjcaj9y4	1	tweets by iranians who share why they're fighting for freedom went viral with tens of millions of views.\nthe islamic republic has forced shervin to delete
1.58573E+18	also a nice double standard here. when negar mortazavi and other staff get harassed: oh nooo they're killing us😱 we condemn this act of harassment 😠\nwhen their staff harasses people:\nwe wish her luck and send her hugs and kisses 😘\n#mahsaamini \n#iranrevoiution https://t.co/4ia3id1fjd	0	harassment
1.58708E+18	"i've been posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspended...#iranrevolution"	1	"posting iran and palestine stuff in my instagram stories, and a few posts about iran and today my instagram account was suspend"
1.57924E+18	"this is not the first time @oprah deleted my comment immediately on her instagram account. guess what sister, you can't do anything here!  #opiran‌‌ #mahsaamini #مهسا‌‌‌‌_امینی #oprah #iran https://t.co/46yyswnkmb"	1	deleted my comment immediately on her instagram account
1.59913E+18	masih is getting a lot of ir trolls on her tweets lately. pls suppot her by replaying to her tweets&amp; consider reporting those who r attacking her&amp; also spreading lies(here saying mina is not injured &amp; it's make up; i wonder why so many die in custody or have fractures #mahsaamini https://t.co/cngzc1csdy	1	tweets lately. pls suppot her by replaying to her tweets&amp; consider report
1.58416E+18	"""snapp helps the lr regime in the protests of the iranian people and gives the information of its customers such as name, location, order information to the police to arrest them. may we ask you to delete this application to save the lives of iranian people.\n#مهسا_امینی"	1	delete
1.58588E+18	sharmine narwani is a paid agent of the islamic republic of #iran. making fun about  the human right abuses towards  #women in iran.\nto be suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter @samanva massive reporting\n@policy \n@elonmusk \n@anonopssee https://t.co/iguhyhpsff	1	suspended  please.\n#mahsaamini \n#opiran \n#iranrevoiution\n@anonymousnn3\n@twitter
1.573E+18	lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی	1	accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove
1.57291E+18	lots of the iranian @whatsapp accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are removed on @instagram \nshame on you @meta\n#opiran \n#مهسا_امینی\n175	1	accounts(start with +98) do not work properly even from abroad.\nlots of the posts related to the current protests in iran are remove
