Account,User Name,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Views,Like and View Counts Disabled,URL,Link,Photo,Title,Description,Image Text,Sponsor Id,Sponsor Name,Total Interactions (weighted  —  Likes 1x Comments 1x ),Overperforming Score,description_lower,relevant,matched_word
Karmagawa,karmagawa,1507473.0,2022-09-21 18:20:04 CDT,2022-09-21,18:20:04,Album,"193,284",177614,15670,1452503,False,https://www.instagram.com/p/CiyXesFqGa9/,https://www.instagram.com/p/CiyXesFqGa9/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/307822525_1505003626609986_1676381564229402141_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=L0W4GnPfQGgAX8Skqsj&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBOGg0itsH8W2PkTRUPhWBfu7sxG_aK8SYZ8qD-zmDOBg&oe=64057545,,"⚠️SAD BREAKING NEWS, PLEASE SHARE AND SPEAK UP FOR MAHSA AMINI WHO WAS KILLED IN POLICE CUSTODY! ⚠️ The death of 22-year-old Mahsa Amini who was arrested in Tehran, Iran by morality police – a dedicated unit that enforces strict dress codes for women, such as wearing the compulsory headscarf – has sparked an outpouring of anger and widespread protests. To limit the protests and prevent this from going viral, Iran has responded with Internet blackouts and Instagram blocks, which is why we must ALL use our social platform for good to get the word out and share this sad post with our followers — we must not allow Mahsa Amini’s death to be in vain! Protests with thousands of people are growing by the day, leading to clashes with security forces and at least seven people have been killed along with several hundred people injured so far. Sadly, videos have also emerged of protestors being shot at with pellets and beaten by government soldiers as the protesters chant, “Women, life, freedom” with many women proudly removing and burning their headscarves to rounds of applause. But because of the Internet and Instagram block, many people around the world are not aware of what’s happening in Iran, so let’s all help spread these protestors’ important message by sharing this post with our followers and tagging people, celebrities, influencers and news media who need to see and share this too. Mahsa Amini is just one of thousands of women who have been arrested and tortured in Iran with their only crime being not meeting the “morality” standards of the regime so let’s speak up for her and all other women who have been treated so terribly for too long! Let’s show Iranian women that their lives matter, that the world cares, that they’re not alone in their fight! #womensrights #mahsaamini #mahsa #mahsa_amini #karmagawa",,,,"193,284",3.4,"⚠️sad breaking news, please share and speak up for mahsa amini who was killed in police custody! ⚠️ the death of 22-year-old mahsa amini who was arrested in tehran, iran by morality police – a dedicated unit that enforces strict dress codes for women, such as wearing the compulsory headscarf – has sparked an outpouring of anger and widespread protests. to limit the protests and prevent this from going viral, iran has responded with internet blackouts and instagram blocks, which is why we must all use our social platform for good to get the word out and share this sad post with our followers — we must not allow mahsa amini’s death to be in vain! protests with thousands of people are growing by the day, leading to clashes with security forces and at least seven people have been killed along with several hundred people injured so far. sadly, videos have also emerged of protestors being shot at with pellets and beaten by government soldiers as the protesters chant, “women, life, freedom” with many women proudly removing and burning their headscarves to rounds of applause. but because of the internet and instagram block, many people around the world are not aware of what’s happening in iran, so let’s all help spread these protestors’ important message by sharing this post with our followers and tagging people, celebrities, influencers and news media who need to see and share this too. mahsa amini is just one of thousands of women who have been arrested and tortured in iran with their only crime being not meeting the “morality” standards of the regime so let’s speak up for her and all other women who have been treated so terribly for too long! let’s show iranian women that their lives matter, that the world cares, that they’re not alone in their fight! #womensrights #mahsaamini #mahsa #mahsa_amini #karmagawa",True,"blocks, which is why we must all use our social platform for good to get the word out and share this sad post"
𝐓𝐎𝐇𝐈,tohi,12163983.0,2022-09-22 09:09:09 CDT,2022-09-22,09:09:09,Album,"154,432",150687,3745,0,False,https://www.instagram.com/p/Ciz9OgktEiu/,https://www.instagram.com/p/Ciz9OgktEiu/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/308028023_478849550789904_486798111061994397_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ITeK4nhI_AAAX_Cc9pA&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBNUd8nJaggSXavXSjSWqqN1B14JCHivp5FupfeSHAqDg&oe=6409B951,,My thoughts and prayers are with the brave women & men of Iran who take to the streets in protest. Social platforms have been blocked so that the voice of the Iranian people can be silenced. Please repost and help be their voice to the world. #HelpIran #MahsaAmini #مهسا_امینی,,,,"154,432",-1.37,my thoughts and prayers are with the brave women & men of iran who take to the streets in protest. social platforms have been blocked so that the voice of the iranian people can be silenced. please repost and help be their voice to the world. #helpiran #mahsaamini #مهسا_امینی,True,blocked so that the voice of the iranian people can be silenced. please repost
Veronika,english_veronika,607982.0,2022-09-29 15:41:47 CDT,2022-09-29,15:41:47,Photo,"143,248",112608,30640,0,False,https://www.instagram.com/p/CjGruZTPz7L/,https://www.instagram.com/p/CjGruZTPz7L/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/309284380_465138845583344_6733848307530100162_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=TUdciEyDDQcAX_cSa2k&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC31ZoJ49xi0WvkXWluu42wvyIpFM0BvZK3VkOWnzIQ3g&oe=64090D98,,"Today I’d like to support all my Iranian followers, students, and everyone impacted by the death of 22-year-old #mahsaamini and by the protests that erupted in many parts of Iran. 

I know that this is an exceptionally challenging time for those with personal ties to Iran, as people cannot get in touch with their families and friends.

I’m appalled by the continuing harassment and repression of women as I’ve always advocated for women’s independence, their right to choose what job to do, who to marry and what to wear. 

It is hard sometimes to describe what it’s like to be a woman today, but I can’t even begin to imagine what it must be like to be a woman in Iran. 

Dear Iranians, I hear you and I’m with you❤️",,,,"143,248",77.64,"today i’d like to support all my iranian followers, students, and everyone impacted by the death of 22-year-old #mahsaamini and by the protests that erupted in many parts of iran. 

i know that this is an exceptionally challenging time for those with personal ties to iran, as people cannot get in touch with their families and friends.

i’m appalled by the continuing harassment and repression of women as i’ve always advocated for women’s independence, their right to choose what job to do, who to marry and what to wear. 

it is hard sometimes to describe what it’s like to be a woman today, but i can’t even begin to imagine what it must be like to be a woman in iran. 

dear iranians, i hear you and i’m with you❤️",True,harassment
The Tatva,thetatvaindia,1002135.0,2022-09-22 23:46:48 CDT,2022-09-22,23:46:48,Album,"139,634",138012,1622,0,False,https://www.instagram.com/p/Ci1hqmvNqsp/,https://www.instagram.com/p/Ci1hqmvNqsp/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/308176058_618284689801610_4050044759647960826_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=inWzU8QJeWcAX-esNb8&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfC8DG459k0o3rjHDi4VGGcVaHY1ZCEnZA15uqtt1azfsw&oe=64039568,,"As internet and Social media gets banned in Iran and widespread protests have killed 31 across the country, Veteran journalist Christiane Amanpour said Thursday that an interview with Iranian President Ebrahim Raisi was scrapped after he insisted she wear a headscarf, the focus of major protests in the cleric-run state.

Amanpour, the chief international anchor of CNN who also has a show on US public broadcaster PBS, said she was ready for the interview Wednesday on the sidelines of the UN General Assembly when an aide insisted she cover her hair.

""I politely declined. We are in New York, where there is no law or tradition regarding headscarves,"" Amanpour, who was born in Britain to an Iranian father, wrote on Twitter.

The number of people who have died in the protests that have rocked Iran after the death of Mahsa Amini has risen to 31, AFP reported on Thursday, 22 September.

Additionally, the Iranian government also blocked access to WhatsApp and Instagram.

Instagram and WhatsApp are two of the most widely used apps in Iran after the blocking of other social media platforms in recent years like Facebook, Twitter, Telegram, YouTube, and Tiktok.

Iran has been swept by nearly a week of protests since the death of 22-year-old Mahsa Amini, who died after being arrested by morality police that enforce the clerics' rules on how women dress.
.
.
.
#TheTatva #TatvaNews #Iran #President #Hijab #Interview #Burqa #Iranian #Protest #Women #Police #Tehran",,,,"139,634",1.01,"as internet and social media gets banned in iran and widespread protests have killed 31 across the country, veteran journalist christiane amanpour said thursday that an interview with iranian president ebrahim raisi was scrapped after he insisted she wear a headscarf, the focus of major protests in the cleric-run state.

amanpour, the chief international anchor of cnn who also has a show on us public broadcaster pbs, said she was ready for the interview wednesday on the sidelines of the un general assembly when an aide insisted she cover her hair.

""i politely declined. we are in new york, where there is no law or tradition regarding headscarves,"" amanpour, who was born in britain to an iranian father, wrote on twitter.

the number of people who have died in the protests that have rocked iran after the death of mahsa amini has risen to 31, afp reported on thursday, 22 september.

additionally, the iranian government also blocked access to whatsapp and instagram.

instagram and whatsapp are two of the most widely used apps in iran after the blocking of other social media platforms in recent years like facebook, twitter, telegram, youtube, and tiktok.

iran has been swept by nearly a week of protests since the death of 22-year-old mahsa amini, who died after being arrested by morality police that enforce the clerics' rules on how women dress.
.
.
.
#thetatva #tatvanews #iran #president #hijab #interview #burqa #iranian #protest #women #police #tehran",True,"blocking of other social media platforms in recent years like facebook, twitter"
MAHLAGHA ☽,mahlaghajaberi,4229488.0,2022-12-19 01:02:59 CST,2022-12-19,01:02:59,Album,"120,163",118948,1215,140610,False,https://www.instagram.com/p/CmVyaMBrj61/,https://www.instagram.com/p/CmVyaMBrj61/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/320569280_550581516614830_99161112052816308_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=4kJcLrLsshMAX8Vbohx&_nc_oc=AQmVhca8SKiuaR1eCWrvttnnI1SqHagfexb0xjqddsChVj-MjPu-YccrNgGu3xC6cEg&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfD16snQxAKCgVsfi7RiUZV90f_ORr8UgN07ERADERyw_A&oe=63EEF40A,,"Breaking News: #TaranehAlidoosti , one of Iran's most beloved actresses, has been arrested by the Islamic Republic. IRNA reports that Taraneh Alidoosti was brutally arrested in her home in front of her daughter, for an Instagram post expressing solidarity after execution of #MohsenShekari and for posting a photo of herself without compulsory hijab holding a sign of solidarity with #WomenLifeFreedom. She is being held in section 209 of Evin prison - where prisoners are notoriously tortured - and she requested her medication. Taraneh starred in the Oscar-winning movie, The Salesman. 
Please #BeTheirVoice and share her story.
#iranrevolution #freeiran #stopexecutionsiniran
#WomenLifeFreedom #mahsaamini 

#ترانه_علیدوستی یکی از محبوب ترین بازیگران زن ایران توسط جمهوری اسلامی بازداشت شد.  به گزارشIRNA، ترانه علیدوستی به دلیل انتشار پست اینستاگرامی در ابراز همبستگی پس از اعدام #محسن شکاری و انتشار عکسی از خود بدون حجاب اجباری در حالی که نشانه همبستگی با #زن_زندگی_آزادی در دست داشت، به طرز فجیعی در خانه اش مقابل چشمان دخترش بازداشت شد.  او در بند 209 زندان اوین - جایی که زندانیان شکنجه می شوند - نگهداری می شود و درخواست داروی خود را کرده است. 
 لطفا #صدای آنها باشید و داستان او را به اشتراک بگذارید.

  #مهسا_امینی",,,,"120,163",-1.16,"breaking news: #taranehalidoosti , one of iran's most beloved actresses, has been arrested by the islamic republic. irna reports that taraneh alidoosti was brutally arrested in her home in front of her daughter, for an instagram post expressing solidarity after execution of #mohsenshekari and for posting a photo of herself without compulsory hijab holding a sign of solidarity with #womenlifefreedom. she is being held in section 209 of evin prison - where prisoners are notoriously tortured - and she requested her medication. taraneh starred in the oscar-winning movie, the salesman. 
please #betheirvoice and share her story.
#iranrevolution #freeiran #stopexecutionsiniran
#womenlifefreedom #mahsaamini 

#ترانه_علیدوستی یکی از محبوب ترین بازیگران زن ایران توسط جمهوری اسلامی بازداشت شد.  به گزارشirna، ترانه علیدوستی به دلیل انتشار پست اینستاگرامی در ابراز همبستگی پس از اعدام #محسن شکاری و انتشار عکسی از خود بدون حجاب اجباری در حالی که نشانه همبستگی با #زن_زندگی_آزادی در دست داشت، به طرز فجیعی در خانه اش مقابل چشمان دخترش بازداشت شد.  او در بند 209 زندان اوین - جایی که زندانیان شکنجه می شوند - نگهداری می شود و درخواست داروی خود را کرده است. 
 لطفا #صدای آنها باشید و داستان او را به اشتراک بگذارید.

  #مهسا_امینی",True,"reports that taraneh alidoosti was brutally arrested in her home in front of her daughter, for an instagram post"
Kevin Flynn,whitepeoplehumor,4640927.0,2022-12-19 15:07:15 CST,2022-12-19,15:07:15,Photo,"105,478",104999,479,0,False,https://www.instagram.com/p/CmXTBxgpZ7u/,https://www.instagram.com/p/CmXTBxgpZ7u/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/321076072_539596808077387_2950280604807024829_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=f6XYW387km4AX-HlgxG&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfAqpsdtZWScsaAoTmXs1Impivw6VBAs_7u5Cv3nxSRTFg&oe=63C7E797,,"I posted this meme in 2015 (HOW. LONG. HAVE. I. BEEN. DOING. THIS. SHIT.) and two dudes fought about this for like a month and a half. YALL WANT THE CORRECT ANSWER?! Ok SO, if Arnold Schwarzenegger is NOT involved, Kevin has less than a 1% chance. The ONLY chance Kevin has is if he creates some sort of cloak to where the pre**tor (trying not to get shadowbanned to hell for saying this word LMAO) can’t see him. He would also need something that could hurt the p**dator once he gets behind him. IN 99.9999% of scenarios the pre*at*r just explodes the house before Kevin can come outside. Lol. IF ARNOLD SCHWARZENEGGER IS INVOLVED, it depends where they start. If they both have to start in the house they’re both dead, and even with one of them flanking, I don’t see both living. THE BEST COURSE OF ACTION FOR ARNOLD AND KEVIN is to set up those fake dancing people that were in Home Alone, and hope the p*ed*tor falls for it. I will not be reading responses to this caption.","hunt.jpg 147 KB JPG Who would win in a fight, the Predator or Kevin from Home Alone? Anonymous 04/30/15(Thu) 19:02:36 No.5588601 How much prep time does Kevin get?",,,"105,478",1.22,"i posted this meme in 2015 (how. long. have. i. been. doing. this. shit.) and two dudes fought about this for like a month and a half. yall want the correct answer?! ok so, if arnold schwarzenegger is not involved, kevin has less than a 1% chance. the only chance kevin has is if he creates some sort of cloak to where the pre**tor (trying not to get shadowbanned to hell for saying this word lmao) can’t see him. he would also need something that could hurt the p**dator once he gets behind him. in 99.9999% of scenarios the pre*at*r just explodes the house before kevin can come outside. lol. if arnold schwarzenegger is involved, it depends where they start. if they both have to start in the house they’re both dead, and even with one of them flanking, i don’t see both living. the best course of action for arnold and kevin is to set up those fake dancing people that were in home alone, and hope the p*ed*tor falls for it. i will not be reading responses to this caption.",True,shadowbanned
Karmagawa,karmagawa,1487338.0,2022-12-08 20:46:34 CST,2022-12-08,20:46:34,Album,"97,964",85834,12130,0,False,https://www.instagram.com/p/Cl7lHZwS2hY/,https://www.instagram.com/p/Cl7lHZwS2hY/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/318837882_1079155366085936_406150979159615073_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0PKwb32wq_IAX88tsj-&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfCBlUaYd6RwQaKkTGx8jKajBrsQNW3g5qZwOpH-YpOe_Q&oe=63FFD89C,,"⚠️SAD BREAKING NEWS, PLEASE SHARE AND LETS SPEAK UP FOR THESE PROTESTORS!⚠️ Ali Moazemi was arrested by the Iran government during protests in the city of Karaj and was sentenced to death in a sham trial. According to reports, he is scheduled to be executed tomorrow morning. On Thursday morning, Iran authorities just carried out the first known execution related to the recent protests hanging 23-year-old Mohsen Shekari. Saman Yasin, a young Kurdish artist and rapper, is  also facing execution after being charged with waging war against God after posting his support for anti-regime protesters on social media. Majid Reza Rahnavard, another young man was arrested during the protests and has also now been sentenced to death by the government…these are just some of the now 18,000+ protestors who have been arrested while speaking up for #mahsaamini and WE MUST SPEAK UP FOR THEM BEFORE ANY MORE INNOCENT PROTESTORS ARE KILLED! We cannot remain silent while the Iran government executes people whose only crime is speaking up for #womensrights so please use your social platform for good and share this post with your followers and tag your friends and family, celebrities, influencers and news media who need to see and share it too in order to raise awareness and stop these unjust killings! #iranprotests #protest #standup #stopthekilling #karmagawa",,,,"97,964",1.72,"⚠️sad breaking news, please share and lets speak up for these protestors!⚠️ ali moazemi was arrested by the iran government during protests in the city of karaj and was sentenced to death in a sham trial. according to reports, he is scheduled to be executed tomorrow morning. on thursday morning, iran authorities just carried out the first known execution related to the recent protests hanging 23-year-old mohsen shekari. saman yasin, a young kurdish artist and rapper, is  also facing execution after being charged with waging war against god after posting his support for anti-regime protesters on social media. majid reza rahnavard, another young man was arrested during the protests and has also now been sentenced to death by the government…these are just some of the now 18,000+ protestors who have been arrested while speaking up for #mahsaamini and we must speak up for them before any more innocent protestors are killed! we cannot remain silent while the iran government executes people whose only crime is speaking up for #womensrights so please use your social platform for good and share this post with your followers and tag your friends and family, celebrities, influencers and news media who need to see and share it too in order to raise awareness and stop these unjust killings! #iranprotests #protest #standup #stopthekilling #karmagawa",True,"reports, he is scheduled to be executed tomorrow morning. on thursday morning, iran authorities just carried out the first known execution related to the recent protests hanging 23-year-old mohsen shekari. saman yasin, a young kurdish artist and rapper, is  also facing execution after being charged with waging war against god after post"
The Tatva,thetatvaindia,1024371.0,2022-10-10 03:30:26 CDT,2022-10-10,03:30:26,Photo,"91,585",91038,547,0,False,https://www.instagram.com/p/CjhsxcHMkqt/,https://www.instagram.com/p/CjhsxcHMkqt/,https://scontent-sea1-1.cdninstagram.com/v/t51.2885-15/311093175_510030150580660_9216245466545456154_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Ba5b-ZzqYlwAX-0XBo1&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfDVR7BaemVMaunHCKpbuGHl4bTZs0gOp0GpHTNSgDu-xQ&oe=6367C614,,"Google Chrome is by far the world’s most popular web browser used by millions around the world but in what may be a cause of concern for millions of its users it has been ranked as the most vulnerable browser by Atlas VPN, a part of Nord security.

A total of 3,159 cumulative vulnerabilities have been discovered in the popular web browser, out of which 303 have been reported this year. The Atlas VPN team has not disclosed the severity but has just published the number of vulnerabilities. The figures are from the VulDB vulnerability database. The report summarises vulnerabilities reported in the database between January 1, 2022, to October 5, 2022.

Mozilla’s Firefox browser comes second with 117 vulnerabilities, and Microsoft Edge comes third with 103 vulnerabilities, which is 61% higher than the previous year. Since its release, it has had 806 vulnerabilities in total, the report states.

Apple’s Safari is the second-most widely used browser worldwide after Google Chrome and is also the safest browser with just 26 vulnerabilities reported for 2022 and 1,139 vulnerabilities overall since its debut. The report advises users to be particularly careful while choosing plug-ins as they can be malicious and has asked users to choose only reliable providers.

Recently Indian cyber agency the Indian Computer Emergency Response Team (CERT-IN) issued a high-severity advisory regarding vulnerabilities in Chrome through which hackers can gain access and execute malicious operations in the system.

Google has one of the most transparent vulnerabilities reporting processes out of all the companies, and according to experts, the same will be fixed via updates. Current users can safeguard themselves by updating their browsers to the latest version.

@sreevatsa.vembar writes
.
.
.
#TheTatva #TatvaNews #India #Google #Chrome #Browser #Safari #Firefox #Unsafe #Safe #Vulnerable #Hack #Security #Technology","Get more dong สith the new Chrome Google Chrome is the most unsafe and vulnerable browser, not only surveils you 24x7 but breaches security: Report However Chrome is most used, Safari has least vulnerabilities.",,,"91,585",-1.38,"google chrome is by far the world’s most popular web browser used by millions around the world but in what may be a cause of concern for millions of its users it has been ranked as the most vulnerable browser by atlas vpn, a part of nord security.

a total of 3,159 cumulative vulnerabilities have been discovered in the popular web browser, out of which 303 have been reported this year. the atlas vpn team has not disclosed the severity but has just published the number of vulnerabilities. the figures are from the vuldb vulnerability database. the report summarises vulnerabilities reported in the database between january 1, 2022, to october 5, 2022.

mozilla’s firefox browser comes second with 117 vulnerabilities, and microsoft edge comes third with 103 vulnerabilities, which is 61% higher than the previous year. since its release, it has had 806 vulnerabilities in total, the report states.

apple’s safari is the second-most widely used browser worldwide after google chrome and is also the safest browser with just 26 vulnerabilities reported for 2022 and 1,139 vulnerabilities overall since its debut. the report advises users to be particularly careful while choosing plug-ins as they can be malicious and has asked users to choose only reliable providers.

recently indian cyber agency the indian computer emergency response team (cert-in) issued a high-severity advisory regarding vulnerabilities in chrome through which hackers can gain access and execute malicious operations in the system.

google has one of the most transparent vulnerabilities reporting processes out of all the companies, and according to experts, the same will be fixed via updates. current users can safeguard themselves by updating their browsers to the latest version.

@sreevatsa.vembar writes
.
.
.
#thetatva #tatvanews #india #google #chrome #browser #safari #firefox #unsafe #safe #vulnerable #hack #security #technology",True,"reported for 2022 and 1,139 vulnerabilities overall since its debut. the report advises user"
The Shade Room,theshaderoom,27494518.0,2022-10-12 16:03:16 CDT,2022-10-12,16:03:16,Photo,"88,631",83692,4939,0,False,https://www.instagram.com/p/CjoMhJhupuF/,https://www.instagram.com/p/CjoMhJhupuF/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/311582807_3230062890546538_5572640207963467290_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=pQo6_U34wmsAX_F5KFi&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AT9pDBU2WoBQMGnT5oYKm-NdNaIxpC1jWYXIpTHfBY2QtA&oe=635476E3,,"According to @CNN, conspiracy theorist #AlexJones has been ordered to pay nearly $1 billion to families who lost loved ones in the 2012 Sandy Hook shooting. Jones previously stated that the tragedy was a hoax, alleging the victims were actors who faked the tragedy.
_______________________________
Jones made statements like, “You’ve got parents laughing — ‘hahaha’ — and then they walk over to the camera and go ‘boo hoo hoo,’ and not just one but a bunch of parents doing this and then photos of kids that are still alive they said died? I mean, they think we’re so dumb.”
_______________________________
The victims families suffered many years of harassment and threats as followers of Jones took his—click the link in our bio to read more! (📸: @gettyimages)",Make His Pockets Hurt! Conspiracy Theorist Alex Jones Ordered To Pay Nearly $1 Billion To Sandy Hook Families After Calling Tragedy A Hoax TOR ትዝት TH+ 第イムロ専 HOON MRCCENES 面道 aHoT BIDT LACEBO,,,"88,631",-1.22,"according to @cnn, conspiracy theorist #alexjones has been ordered to pay nearly $1 billion to families who lost loved ones in the 2012 sandy hook shooting. jones previously stated that the tragedy was a hoax, alleging the victims were actors who faked the tragedy.
_______________________________
jones made statements like, “you’ve got parents laughing — ‘hahaha’ — and then they walk over to the camera and go ‘boo hoo hoo,’ and not just one but a bunch of parents doing this and then photos of kids that are still alive they said died? i mean, they think we’re so dumb.”
_______________________________
the victims families suffered many years of harassment and threats as followers of jones took his—click the link in our bio to read more! (📸: @gettyimages)",True,harassment
The Shade Room Teens,theshaderoomteens,4704274.0,2022-12-16 12:05:58 CST,2022-12-16,12:05:58,Photo,"87,670",85660,2010,0,False,https://www.instagram.com/p/CmPP5drpXqa/,https://www.instagram.com/p/CmPP5drpXqa/,https://scontent-sea1-1.cdninstagram.com/v/t51.29350-15/319908490_2157436964429078_3926013409071385006_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_1MXZ5fcYzkAX-cnHN6&_nc_ht=scontent-sea1-1.cdninstagram.com&oh=00_AfBd2Lg9hzoRwL974xMQ8Vy46uQOnFJ5mfY44smMEVmFyg&oe=63BBC7BD,,"TSR Staff: Tee! @Mylifeastiara
_________________
The saying is normally “it be your own kids” but this Michigan mother has definitely flipped the script! After a year of catfishing, it’s been revealed that this woman has been harassing two teens, one who was her 
daughter. 
_________________
According to @mercurynews, 42-year-old Kendra Gail Licari, was charged Monday two counts of stalking a minor, two counts of using a computer to commit a crime and one count of obstruction of justice. 

The obstruction charges come in after Licari tried to pin the mess on another minor. She went through lengths of using software to hide her location, teen slang , and certain abbreviations in hopes to throw them off. 
_________________
Law enforcement complied a total of 349 pages of harassing text messages that date back to 2021. After Licari was confronted by the FBI she reportedly made a full confession but it’s still unknown on why she started the harassment in the first place. 
_________________
Licari was released on a $5,000 bond and is expected to appear back in court December 29th. ( 📸: Isabella County Jail)",Say What?! Teen Finds Out That Anonymous Cyberbully Who Harassed Her For A Year Was Her Mother T.R TEENS,,,"87,670",2.46,"tsr staff: tee! @mylifeastiara
_________________
the saying is normally “it be your own kids” but this michigan mother has definitely flipped the script! after a year of catfishing, it’s been revealed that this woman has been harassing two teens, one who was her 
daughter. 
_________________
according to @mercurynews, 42-year-old kendra gail licari, was charged monday two counts of stalking a minor, two counts of using a computer to commit a crime and one count of obstruction of justice. 

the obstruction charges come in after licari tried to pin the mess on another minor. she went through lengths of using software to hide her location, teen slang , and certain abbreviations in hopes to throw them off. 
_________________
law enforcement complied a total of 349 pages of harassing text messages that date back to 2021. after licari was confronted by the fbi she reportedly made a full confession but it’s still unknown on why she started the harassment in the first place. 
_________________
licari was released on a $5,000 bond and is expected to appear back in court december 29th. ( 📸: isabella county jail)",True,harassment
